Datum;Dan u tj.;Doručak;Kalorije (kcal);Ručak;Kalorije (kcal).1;Večera;Kalorije (kcal).2;Ukupno;Potrošio;Aktivnost;Kcal Potrošeno;Kg;;;;;
18.pro;NED;;;;;;4050;4050;2100;;;;;;;;
19.pro;PON;;;;;;2300;2300;2100;;;;;;;;
20.pro;UTO;;;;;;2050;2050;2100;;;;;;;;
21.pro;SRI;;;;;;2750;2750;2500;;;;;;;;
22.pro;ČET;;;;;;3470;3470;2100;;;;;;;;
23.pro;PET;2x sendvič + keksi;1070;fiš paprikaš;770;sendviči + kolači;1000;2840;2100;;;;;;;;
24.pro;SUB;slanci + keksi;1100;0;650;keksi + sednviči + bomboni;1300;3050;2100;;;;;;;;
25.pro;NED;Klipići;1000;ručak;1000;klipići + gumeni + čoko;1680;3680;2100;;;;;;;;
26.pro;PON;kokice i bomboni;750;kuglice u umaku ;800;keksi + ostaci + ostalo;2870;4420;2100;;;;;;;;
27.pro;UTO;sendviči;550;granatir i oblatne;1260;sendviči i granatir;1220;3030;2100;;;;;;;;
28.pro;SRI;sendviči + keksi;1100;b.meso i pire + keksi;1020;kanapei + grickalice;1500;3620;2100;;;;;;;;
29.pro;ČET;sendviči + čoko;1000;;;;1810;2810;2350;;;;;;;;
30.pro;PET;;;;;;3030;3030;2100;;;;;;;;
31.pro;SUB;;;;;;3650;3650;2100;;;;;;;;
1.sij;NED;;;;;;2120;2120;2100;;;;;;;;
2.sij;PON;;;;;;3010;3010;2100;;;;;;;;
3.sij;UTO;;;;;;3460;3460;2100;;;;;;;;
4.sij;SRI;;;;;;2970;2970;2100;;;;;;;;
5.sij;ČET;;;;;;4510;4510;2100;;;;;;;;
6.sij;PET;;;;;;3810;3810;2100;;;;;;;;
7.sij;SUB;;;;;;3060;3060;2100;;;;;;;;
8.sij;NED;;;;;;2050;2050;2100;;;;;;;;
9.sij;PON;;;;;;2280;2280;2100;;;;;;;;
10.sij;UTO;;;;;;2730;2730;2100;;;;;;;;
11.sij;SRI;;;;;;2650;2650;2100;;;;;;;;
12.sij;ČET;;;;;;1560;1560;2100;;;;;;;;
13.sij;PET;;;;;;3470;3470;2100;;;;;;;;
14.sij;SUB;;;;;;3970;3970;2100;;;;;;;;
15.sij;NED;;;;;;3400;3400;2100;;;;;;;;
16.sij;PON;;;;;;2050;2050;2100;;;;;;;;
17.sij;UTO;;;;;;2790;2790;2100;;;;;;;;
18.sij;SRI;;;;;;3545;3545;2100;;;;;;;;
19.sij;ČET;Ćevapi + kruh + kečap + pohani sir;830;Hamburger;630;2x hamburger;1450;2910;2100;;;;;;;;
20.sij;PET;hamburger;630;pizza;700;bolonjez;1540;2870;2100;;;;;;;;
21.sij;SUB;pohani kruh;820;b.meso i pire;890;ivo ronđendan;1550;3260;2100;;;;;;;;
22.sij;NED;sendviči + čoko;1000;stromboli;1600;čips;1240;3840;2100;;;;;;;;
23.sij;PON;stromboli;800;cordon;400;bečki i pomfrit + corny;1250;2450;2100;;;;;;;;
24.sij;UTO;sendvič i oreo;870;pizza;700;večera;900;2470;2100;;;;;;;;
25.sij;SRI;bečki i riža;600;čips i keksi;1450;hamburger;760;2810;2100;;;;;;;;
26.sij;ČET;pizza;1480;grah i meso;620;burek;1200;3300;2100;;;;;;;;
27.sij;PET;pizza;700;b.meso i grah;1050;kulen sendvič;900;2650;2100;;;;;;;;
28.sij;SUB;cordon i corny;780;b.meso i riža;650;bananko i sendviči;1600;3030;2100;;;;;;;;
29.sij;NED;topli sendviči ;700;varivo;550;topli send. i krekeri;1220;2470;2100;;;;;;;;
30.sij;PON;prstići i keksi;700;varivo i bananko;1060;smoki i banana;730;2490;2300;;;;;;;;
31.sij;UTO;sendviči i banana;820;hamburger;1350;keksi + banana + sendviči + krekeri;1440;3610;2100;;;;;;;;
1.vlj;SRI;;;;;;2525;2525;2300;;;;;;;;
2.vlj;ČET;;;;;;2990;2990;2100;;;;;;;;
3.vlj;PET;;;;;;3790;3790;2100;;;;;;;;
4.vlj;SUB;;;;;;3990;3990;2100;;;;;;;;
5.vlj;NED;;;;;;3040;3040;2100;;;;;;;;
6.vlj;PON;;;;;;3320;3320;2100;;;;;;;;
7.vlj;UTO;;;;;;3530;3530;2100;;;;;;;;
8.vlj;SRI;;;;;;3290;3290;2100;;;;;;;;
9.vlj;ČET;;;;;;2520;2520;2100;;;;;;;;
10.vlj;PET;;;;;;2400;2400;2100;;;;;;;;
11.vlj;SUB;;;;;;3600;3600;2100;;;;;;;;
12.vlj;NED;;;;;;3380;3380;2100;;;;;;;;
13.vlj;PON;pecivo;250;rizi bizi s tragovima mesa;660;sendviči + tuc tuc;1520;2430;2100;;;;;;;;
14.vlj;UTO;sendviči i krekeri;1000;;;;3940;4940;2100;;;;;;;;
15.vlj;SRI;;;;;;2600;2600;2100;;;;;;;;
16.vlj;ČET;;;;;;2770;2770;2100;;;;;;;;
17.vlj;PET;;;;;;3300;3300;2100;;;;;;;;
18.vlj;SUB;;;;;;3440;3440;2100;;;;;;;;
19.vlj;NED;;;;;;3220;3220;2100;;;;;;;;
20.vlj;PON;;;;;;3530;3530;2100;;;;;;;;
21.vlj;UTO;;;;;;3130;3130;2100;;;;;;;;
22.vlj;SRI;;;;;;2780;2780;2100;;;;;;;;
23.vlj;ČET;;;;;;3050;3050;2100;;;;;;;;
24.vlj;PET;;;;;;3280;3280;2100;;;;;;;;
25.vlj;SUB;;;;;;1800;1800;2100;;;;;;;;
26.vlj;NED;;;;;;3540;3540;2100;;;;;;;;
27.vlj;PON;;;;;;2210;2210;2100;;;;;;;;
28.vlj;UTO;;;;;;2250;2250;2100;;;;;;;;
1.ožu;SRI;;;;;;2650;2650;2100;;;;;;;;
2.ožu;ČET;;;;;;2885;2885;2500;;;;;;;;
3.ožu;PET;;;;;;1080;1080;2300;;;;;;;;
4.ožu;SUB;;;;;;3130;3130;2100;;;;;;;;
5.ožu;NED;pohani kruh + kolač;1450;štruca i banana;760;sendviči;700;2910;2300;;;;;;;;
6.ožu;PON;;;;;;2920;2920;2100;;;;;;;;
7.ožu;UTO;;;;;;3450;3450;2100;;;;;;;;
8.ožu;SRI;;;;;;2430;2430;2400;;;;;;;;
9.ožu;ČET;;;;;;1900;1900;2100;;;;;;;;
10.ožu;PET;;;;;;2630;2630;2100;;;;;;;;
11.ožu;SUB;;;;;;3730;3730;2100;;;;;;;;
12.ožu;NED;;;;;;4000;4000;2100;;;;;;;;
13.ožu;PON;;;;;;2240;2240;2100;;;;;;;;
14.ožu;UTO;;;;;;1840;1840;2100;;;;;;;;
15.ožu;SRI;;;;;;2365;2365;2100;;;;;;;;
16.ožu;ČET;;;;;;3250;3250;2100;;;;;;;;
17.ožu;PET;pizza;800;jadro keksi ;400;hamburger i čips;2200;3400;2100;;;;;;;;
18.ožu;SUB;sendviči + protein puding;930;pizza;1350;sendviči;600;2880;2100;;;;;;;;
19.ožu;NED;sendviči;600;krštenje ručak;1500;sok i sendviči;730;2830;2100;;;;;;;;
20.ožu;PON;pizza;1050;b.meso i krumpir;600;moto keksi + večera;2505;4155;2300;;;;;;;;
21.ožu;UTO;pizza;1050;cordon i moto keksi;1465;burek;700;3215;2100;;;;;;;;
22.ožu;SRI;burek i pizza;1300;pljeskavica i riža;590;cordon i čips;1280;3170;2100;;;;;;;;
23.ožu;ČET;burek;680;pizza + sokić;1140;mini pizze + hotdog + sok;1240;3060;2400;;;;;;;;
24.ožu;PET;cordoni + sok;1150;cordon i krumpir;700;granatir + čokolada;960;2810;2300;;;;;;;;
25.ožu;SUB;sendviči ;600;mahune i faširanci;850;kinder bueno + sendviči;1090;2540;2100;;;;;;;;
26.ožu;NED;sendviči;700;b.meso u kornfleksu i pire;1000;sendviči + jabuka;1160;2860;2100;;;;;;;;
27.ožu;PON;sendviči;700;pizza + čips;1530;kulen sendvič;1000;3230;2100;;;;;;;;
28.ožu;UTO;ćevapi;1000;/;0;krmupiruša + sendvič;1470;2470;2100;;;;;;;;
29.ožu;SRI;cordon i riža;780;2x mini pizze + kinder;1050;2x cordona;975;2805;2100;;;;;;;;
30.ožu;ČET;cordon i krumpir + sok;1180;malo čipsa i cola;420;sendvič i lidl pizze;870;2470;2400;;;;;;;;
31.ožu;PET;kruh pašteta + čoko;900;kruh pašteta + grah;1430;sendviči;800;3130;2100;;;;;;;;
1.tra;SUB;sendviči;600;bolonjez;1210;čips + bolonjez;1180;2990;2100;;;;;;;;
2.tra;NED;sendviči + keksi;850;b.meso + grašak;810;2x sendviči;650;2310;2100;;;;;;;;
3.tra;PON;sendviči + keksi;1050;pljeskavica + rizibizi;540;čips;740;2330;2100;;;;;;;;
4.tra;UTO;ćevapi + pomfrit ;800;pizza + bananko;1260;ćevapi + pomfrit + čips + čips;2820;4880;2100;;;;;;;;
5.tra;SRI;/;0;hambi + kinder;910;meso i krumpir i čoki milk;930;1840;2100;;;;;;;;
6.tra;ČET;pizza;700;meksička piza + čokoladica + sok;930;katsu piletina (franz koch);900;2530;2450;;;;;;;;
7.tra;PET;šnite kruha + sok;685;fiš;700;šnite kruha;720;2105;2100;;;;;;;;
8.tra;SUB;šnite kruha + sok;685;faširanci i mahune;750;keksi + sendviči + krempita;1260;2695;2100;;;;;;;;
9.tra;NED;uskršnji doručak + bomboni + sok;1640;b.meso i krumpir;1100;sendviči;700;3440;2100;;;;;;;;
10.tra;PON;kruh pašteta + kekski + krekeri;990;ostaci od uskrsa;790;ostaci od uskršenjeg doručka;700;2480;2100;;;;;;;;
11.tra;UTO;Pizza + bananko;1075;riža i pljeska;540;čips + kifla s hrenovkom;1470;3085;2100;;;;;;;;
12.tra;SRI;pizza;700;cordon i riža + sokić;640;cordon sendvič;840;2180;2100;;;;;;;;
13.tra;ČET;pizza;700;čips;820;burek i jogurt;800;2320;2450;;;;;;;;
14.tra;PET;ćevapi i lepinja;890;pljeska i riža + banana;550;ćevapi + sok;1150;2590;2100;;;;;;;;
15.tra;SUB;slanci i punjenje;760;b.meso + pire + keksi;1050;slanci + sok;1190;3000;2100;;;;;;;;
16.tra;NED;sendviči;750;palačinke i sok;940;krekeri + peciva + čoko. s rižom;1240;2930;2100;;;;;;;;
17.tra;PON;palačinke;500;bečki + njoki + keksi;1260;/;0;1760;2100;;;;;;;;
18.tra;UTO;cordon i kroketi;620;pizza;1050;bečki + riža + keksi;1090;2760;2100;;;;;;;;
19.tra;SRI;cordon i kroketi;620;pizza + čoko;1450;pljeska i pomes;800;2870;2100;;;;;;;;
20.tra;ČET;pizza;700;špageti + oreo;1140;burek + jogurt;900;2740;2450;;;;;;;;
21.tra;PET;bečki i pizza;1000;pljeska i kroketi;750;kobasica + vrhnje + čoko riža;1215;2965;2100;;;;;;;;
22.tra;SUB;sendviči;675;ručak;800;večera;1200;2675;2100;;;;;;;;
23.tra;NED;sendviči;660;b.meso + pire;700;sendviči + čoko;1075;2435;2100;;;;;;;;
24.tra;PON;sendviči;700;pljeska i riža;570;2x pizza komad;640;1910;2300;;;;;;;;
25.tra;UTO;pizza;350;čevapi + rizibizi + špageti;1300;čoko;500;2150;2200;;;;;;;;
26.tra;SRI;cordon i kroketi;650;lazanje;830;b.meso + tortelini;690;2170;2200;;;;;;;;
27.tra;ČET;cordon i riža;510;trokut pizze + sok + hotdogovi;1265;čips + sok;1100;2875;2200;;;;;;;;
28.tra;PET;sendviči + sok;900;grašak varivo i mesne kuglice;540;čips + sendviči + banana;1600;3040;2200;;;;;;;;
29.tra;SUB;sendviči + sok;970;pljeskavice + grašak + pecivo;590;sendvič + banana + kikiriki;1430;2990;2200;;;;;;;;
30.tra;NED;sendviči;670;b.meso + pire + sok + kikiriki;1085;sendviči + sok + gricklice;1770;3525;2200;;;;;;;;
1.svi;PON;sendviči;700;kirbaj;2725;keksi;340;3765;2200;;;;;;;;
2.svi;UTO;sendviči;600;pizza + bečki i riža;910;čips + pizza;2210;3720;2200;;;;;;;;
3.svi;SRI;ćevapi + pomes;820;b.meso + riža;515;pizza;720;2055;2100;;;;;;;;
4.svi;ČET;2x pizza;700;B.meso + krumpir + sok ;725;b.meso + čips;1150;2575;2100;;;;;;;;
5.svi;PET;burek;780;hambi + pizza komad;800;tortlije + jaffa keksi;2220;3800;2100;;;;;;;;
6.svi;SUB;sendviči;620;granatir;990;granatir + čoko;1220;2830;2100;;;;;;;;
7.svi;NED;pohani kruh;745;roštilj;1350;roštilj + nutella petit;1235;3330;2100;;;;;;;;
8.svi;PON;sendviči + pizza;860;b.meso + čips;1310;pizza;640;2810;2300;;;;;;;;
9.svi;UTO;b.meso + grašak;580;b.meso + grašak;580;čips;1820;2980;2100;;;;;;;;
10.svi;SRI;pizza;840;sladoled + burek;910;burek + bomboni;1160;2910;2100;;;;;;;;
11.svi;ČET;trokut pizza + šunka sir + sladoled + send;1445;faširanci i grašak;640;sendviči;560;2645;2100;;;;;;;;
12.svi;PET;2x lisnata s hrenovkom + pecivo;870;faširanci i grašak;640;sendviči;880;2390;2300;;;;;;;;
13.svi;SUB;sendviči + kikiriki;800;b.meso u korfleksu + pire + sladoled;1115;sendviči + kikiriki;1010;2925;2100;;;;;;;;
14.svi;NED;sendviči;580;rolada + krumpir;830;sok + sendviči + čoko.;1010;2420;2100;;;;;;;;
15.svi;PON;burek mali;600;b.meso + riža;520;pizza komadi + keksi;1460;2580;2300;;;;;;;;
16.svi;UTO;pizza;800;špageti;1100;pizza + keksi;1520;3420;2100;;;;;;;;
17.svi;SRI;pizza komadi;640;pizza;1450;sladoled;300;2390;2100;;;;;;;;
18.svi;ČET;topli sendviči ;700;ćevapi + sladoled;1350;ćevapi + kikiriki;1000;3050;2100;;;;;;;;
19.svi;PET;sendviči;560;sendvič + kikirikiž;760;čips + send.;1720;3040;2300;;;;;;;;
20.svi;SUB;sendviči;660;b.meso + pire + brownies;820;matija rodendan;1200;2680;2100;;;;;;;;
21.svi;NED;sendviči;700;b.meso + krumpir + kolači;1210;sendviči + kolači;1410;3320;2400;;;;;;;;
22.svi;PON;pizza;990;čips i cordon;1180;hambi;1200;3370;2400;;;;;;;;
23.svi;UTO;ćevapi + pommes;820;b.meso + riža + sok;605;keksi + pljeska i riža;1330;2755;2100;;;;;;;;
24.svi;SRI;pizza + čips;1160;keksi + paštašuta;1800;pizza + glovo;1460;4420;2200;;;;;;;;
25.svi;ČET;piiza;700;pohani kruh sa salamom i dodacima;870;bananko cream;180;1750;2200;;;;;;;;
26.svi;PET;burek i pol + čoko. milk;1080;mahune i faširanci;615;sendviči;840;2535;2200;;;;;;;;
27.svi;SUB;sendviči;660;grah;780;grah + sladoled;1320;2760;2100;;;;;;;;
28.svi;NED;sendviči;700;b.meso i sos + oblatne;1520;sendviči + kikiriki;1070;3290;2100;;;;;;;;
29.svi;PON;sendviči;450;ćevapi + pommes;820;tortlije;1940;3210;2200;;;;;;;;
30.svi;UTO;sendviči;700;tortilje;1650;sendviči + kikiriki;1640;3990;2100;;;;;;;;
31.svi;SRI;dvopek send.;635;varivo od graška i mljev. Mesa + sok;675;sendvič + kikiriki;940;2250;2300;;;;;;;;
1.lip;ČET;sendviči;700;burek i sladoled;1120;sendviči;700;2520;2100;;;;;;;;
2.lip;PET;sendviči;690;b.meso + riža + sok + sladoled;1375;sendviči;900;2965;2300;;;;;;;;
3.lip;SUB;bageti + sladoled;1000;Pizza;1530;/;0;2530;2100;;;;;;;;
4.lip;NED;sendviči i sladoled;880;gulaš + brownies;1290;kikiriki + gulaš;1780;3950;2100;;;;;;;;
5.lip;PON;sendviči;700;gulaš + sladoled;1240;sendviči;890;2830;2200;;;;;;;;
6.lip;UTO;kifla hrenokva + kruh;1090;tortilja preklapa;1230;topli send.;750;3070;2300;;;;;;;;
7.lip;SRI;topli sendviči ;750;b.meso + grašak + sladoled;1140;sendviči;700;2590;2100;;;;;;;;
8.lip;ČET;sendviči;750;sladoled + granatir;700;granatir + sendviči;1980;3430;2100;;;;;;;;
9.lip;PET;dvopek;490;b. meso sendviči + sladoled;1050;sendviči + batons + kikiriki;1570;3110;2100;;;;;;;;
10.lip;SUB;sendviči + sladoled;950;Chili con carne;990;chili con carne + sladoled;1600;3540;2350;;;;;;;;
11.lip;NED;sendviči + sladoled;850;b.meso + pire + sladoled;875;čoko. + send.;1170;2895;2100;;;;;;;;
12.lip;PON;pecivo paštet od b.meso;510;bureki;1025;b.meso + kroketi + čoko.;1525;3060;2200;;;;;;;;
13.lip;UTO;slanci + meksičke pite;1110;piroge + čips;1035;piroge + čips + kolač + bananko;1895;4040;2300;;;;;;;;
14.lip;SRI;sendviči + bananko;960;mcds + faširanci + krumpir;1880;sendviči topli i kikiriki;800;3640;2200;;;;;;;;
15.lip;ČET;sendviči;620;bolonjez;1770;sendviči;600;2990;2100;;;;;;;;
16.lip;PET;šnite + kifla hrenovka;1045;pizza + coca cola;1300;pizza + coca cola;900;3245;2400;;;;;;;;
17.lip;SUB;sendviči;640;roger + b.meso + kroketi + umak;1285;topli sendviči;825;2750;2100;;;;;;;;
18.lip;NED;sendviči;800;B.meso + restani krumpir;735;kiflice + sok + gricklice;1080;2615;2100;;;;;;;;
18.lip;PON;smedviči;255;čips + sok + puretina i riža;1335;čoko + sendviči;1100;2690;2200;;;;;;;;
19.lip;UTO;pizza trokuti + send.;1525;hambi + čoko + sok;1680;sendviči;700;3905;2100;;;;;;;;
20.lip;SRI;sendviči + čoko;1240;ćevapi + pommes;1340;sendviči;700;3280;2100;;;;;;;;
21.lip;ČET;sendviči;700;malo bureka;350;sendviči + kiflice;1390;2440;2100;;;;;;;;
22.lip;PET;topli sendviči ;920;hambić + mahune + čoko send.;1300;sendviči;700;2920;2200;;;;;;;;
23.lip;SUB;mini send.;920;Mahune i hrenovke + čips;1180;malo čoko. + mini send. + banana;1835;3935;2100;;;;;;;;
24.lip;NED;sendviči;700;b. meso sendviči + bomboni;1430;kiflice + torta;1475;3605;2100;;;;;;;;
25.lip;PON;kiflice + sok;1280;čoko send. + bolonjez;1505;stromboli + čips + sok;1900;4685;2100;;;;;;;;
26.lip;UTO;topli sendviči + kifla s hrenovk.;915;Bolonjez + torta;900;tost sendviči;825;2640;2750;;;;;;;;
27.lip;SRI;kifla hrenovka + kajg. hren. pecivo;1040;roger + b.meso + riža;1150;hotdogovi;735;2925;2650;;;;;;;;
28.lip;ČET;kajgano hrenovka + tortica;735;čobanac i kolači;1425;McD + dvopek;1290;3450;2700;;;;;;;;
29.lip;PET;hotdogovi;755;B.meso + restani krumpir;850;kiflice;1100;2705;2100;;;;;;;;
30.lip;SUB;sendviči;700;paprikaš;1210;keks send. + čips + sendviči;2040;3950;2100;;;;;;;;
1.srp;NED;pohani kruh;800;paprikaš;840;svašta;1230;2870;2100;;;;;;;;
2.srp;PON;/;0;bureki;1220;bureki;1025;2245;2100;;;;;;;;
3.srp;UTO;sendviči + burek;1350;b.meso + grašak;1310;krekeri;750;3410;2100;;;;;;;;
4.srp;SRI;sendviči;700;b.meso + grašak;875;sendviči + čips;1570;3145;2100;;;;;;;;
5.srp;ČET;sendviči + čips;1560;hambi + keksi;1450;hambi;1000;4010;2100;;;;;;;;
6.srp;PET;sendviči;600;burek;750;čips;720;2070;2100;;;;;;;;
7.srp;SUB;burek;750;čufte + kruh;970;kokice + topli send. + send. + cola;1620;3340;2100;;;;;;;;
8.srp;NED;/;0;pulled pork hambi;1050;sendviči + protein puding;1935;2985;2100;;;;;;;;
9.srp;PON;dvopek + oblatne;1180;hambi;1100;sendviči + oblatne;1180;3460;2100;;;;;;;;
10.srp;UTO;dvopek + oblatne;1180;pulled pork pasta;1500;pulled pork pasta + hotdog + čips;1705;4385;2100;;;;;;;;
11.srp;SRI;sendvič;270;kajgano i hrenovke;690;sendviči;660;1620;2100;;;;;;;;
12.srp;ČET;topli sendviči;700;svinjski kare + grašak;825;sendviči + cola;900;2425;2100;;;;;;;;
13.srp;PET;topli sendviči + cola;815;pizza spar;790;kanapei;1260;2865;2100;;;;;;;;
14.srp;SUB;sendviči;700;tortilje + sladoled;1750;tortilje + sladoled;1250;3700;2100;;;;;;;;
15.srp;NED;sendviči;700;b.meso i krumpir + sladoled;1250;sendviči + sok;1050;3000;2100;;;;;;;;
16.srp;PON;sendviči + sladoled;890;b.meso i krumpir + sladoled;1250;sendviči + kokice;1080;3220;2100;;;;;;;;
17.srp;UTO;sendviči;700;pizza + pommes + sok;2100;sendviči;700;3500;2200;;;;;;;;
18.srp;SRI;sendviči;750;mesne kuglice + umak + somun;620;trokut pizze + tost send.;1200;2570;2100;;;;;;;;
19.srp;ČET;sendviči;700;mesne kuglice + umak + pecivo;550;ručak + pizza + pommes;2250;3500;2200;;;;;;;;
20.srp;PET;pizza od jučer;600;b.meso soja sos + pire;1035;somun send. + čips + sok;2105;3740;2100;;;;;;;;
21.srp;SUB;somun sendvič + sladoled;620;big mac tortilja;680;sladoled + dvopek;1690;2990;2100;;;;;;;;
22.srp;NED;sendviči + sladoled;1000;big mac tortilja;680;sendviči + sladoled + kokice;1560;3240;2100;;;;;;;;
23.srp;PON;trokut pizza;825;Granatir + sladoled;1180;čips + kokice + granatir + sladoled;1310;3315;2100;;;;;;;;
24.srp;UTO;sendviči;700;ćevapi + sok + smoki čoko;1900;/;0;2600;2200;;;;;;;;
25.srp;SRI;sendviči + bananko;1050;b.meso + grašak + sladoled;1030;svašta;2010;4090;2100;;;;;;;;
26.srp;ČET;sendviči + sladoled;930;b.meso u kornflesku i pire;805;sendviči + bananko + kokice;1780;3515;2100;;;;;;;;
27.srp;PET;kajgano hrenovke;745;lazanje;830;sendviči + sladoled + kokice;1820;3395;2650;;;;;;;;
28.srp;SUB;sendviči;600;sladoled + štapići + lazanje;1660;kolači + lubenica + send. + kokice;1915;4175;2100;;;;;;;;
29.srp;NED;sendviči + bananko;670;kanapei;300;svašta;2740;3710;2450;;;;;;;;
30.srp;PON;sendviči + kolači;1200;B.meso + restani krumpir;1050;sendviči;1100;3350;2100;;;;;;;;
31.srp;UTO;sendviči + lubenica;700;lisnato + kokice + sok + sladoled;1820;lisnato;300;2820;2100;;;;;;;;
1.kol;SRI;sendviči + kitkat;910;pohano pecivo ;740;semdviči + sok + pahuljice + krekeri;1395;3045;2100;;;;;;;;
2.kol;ČET;kajgano hrenovke + pahuljice;1050;zapečene tortilje;900;pahuljice + sendviči;1275;3225;2700;;;;;;;;
3.kol;PET;sendviči;700;zapečene tortilje + banana;745;sendviči + som send;1550;2995;2100;;;;;;;;
4.kol;SUB;sendviči ;700;fairanci send. + čoko.;1270;faširanci send.;1050;3020;2100;;;;;;;;
5.kol;NED;/;0;/;0;rođendan;4010;4010;2100;;;;;;;;
6.kol;PON;topli sendviči;750;paprikaš;990;sendviči + kolači;1450;3190;2100;;;;;;;;
7.kol;UTO;sendviči;700;kolači + meso i sos;1345;sendviči + čoko;1180;3225;2100;;;;;;;;
8.kol;SRI;sendviči;650;b.meso i grašak;750;sladoled + sendviči;1970;3370;2100;;;;;;;;
9.kol;ČET;topli send. + sladoled;650;burek;820;sladoled + send. + čips;1998;3468;2100;;;;;;;;
10.kol;PET;topli sendviči;825;sladoled + pohani som i restani krumpir;1220;sladoled + send. ;1100;3145;2100;;;;;;;;
11.kol;SUB;sendviči;700;špageti;990;sendviči + špageti;1900;3590;2200;;;;;;;;
12.kol;NED;sendviči;600;b.meso + krumpir;1090;sendviči + kokice;1200;2890;2200;;;;;;;;
14.kol;PON;sendviči;600;mahune i faširanci;560;sendviči + 2 keksa;810;1970;2000;1k koraka;60;117 kg;;;;;
15.kol;UTO;sendviči;600;b.meso + riža;720;pahuljice i sendviči;1040;2360;2000;5k + košarka;400;;;;;;
16.kol;SRI;topli sendviči;800;sendvič i pahuljice;760;pizza + pommes + sok ;1750;3310;2000;22k + košarka;1700;;;;;;
17.kol;ČET;sendviči + sladoled;790;hamburgeri;1140;Kajgano kockice + sladoled;895;2825;2000;12k + košarka;900;;;;;;
18.kol;PET;sendviči;640;juha + b.meso i pire;870;sendviči + sladoled;930;2440;2000;7k koraka;460;;;;;;
19.kol;SUB;sendviči;720;fiš + pahuljice;1020;sendviči;700;2440;2525;2.5k koraka;160;;;;;;
20.kol;NED;sendviči;720;pravo meso i riža;810;sendviči + pahuljice + grickalice;1400;2930;2525;7k koraka;440;115,5 kg;;;;;
21.kol;PON;topli sendviči;800;fiš;660;sendviči + grickalice;1140;2600;2000;3k koraka;190;;;;;;
22.kol;UTO;sendviči;600;chicken tikka masala;690;sendviči;700;1990;2000;3k koraka;190;;;;;;
23.kol;SRI;sendviči + ceda + kikiriki;930;mac and cheese;660;kokice + sendviči;1100;2690;2000;4k koraka;240;;;;;;
24.kol;ČET;sendviči;700;trokut pizza + lisnato + pahuljice;835;šag catering + sok + sendviči;1550;3085;2000;4k koraka;250;;;;;;
25.kol;PET;topli sendviči + party mix;1120;špageti;990;sladoled + sendviči + grickalice;1250;3360;2000;10k koraka;670;;;;;;
26.kol;SUB;sendviči;700;tortilje ;1500;sladoled + kiflice;640;2840;2525;5k koraka;330;;;;;;
27.kol;NED;lisnato salama sir;485;2 lisnata + rolada i krumpir;965;sladoled + lisnato + malo kikirikija;1520;2970;2525;1k koraka;75;116 kg;;;;;
28.kol;PON;krekeri;570;rolada i krumpir;765;tortilje + party mix;990;2325;2000;7k + bicikl;630;;;;;;
29.kol;UTO;sendvič;700;hotdogovi;840;krekeri;800;2340;2000;6k koraka;390;;;;;;
30.kol;SRI;krekeri + grickalice;1050;b. meso i pire;705;sendviči + kikiriki;950;2705;2000;13k + košarka;960;;;;;;
31.kol;ČET;sendviči;700;pizza trokuti + lisnato salama sir ;825;čips + sendviči;1470;2995;2000;16k koraka;1000;;;;;;
1.ruj;PET;pašteta i pecivo;530;b.meso + kroketi + kečap;865;pecivo i pašteta + kikiriki;1040;2435;2000;7k koraka;470;;;;;;
2.ruj;SUB;sendviči;700;b.meso i krumpir + juha;1020;sendviči s b.mesom;980;2700;2525;8k koraka;520;;;;;;
3.ruj;NED;sendviči;700;zapečene tortlije;1200;čips + sendviči;1120;3020;2525;7k + košarka;590;114,5 kg;;;;;
4.ruj;PON;meksičke pite + kuglice;1020;zapečene tortlije;800;sendviči;700;2520;2000;10k koraka;640;;;;;;
5.ruj;UTO;sendviči;420;mali burek sa sirom;520;sendviči;900;1840;2000;2k koraka;140;;;;;;
6.ruj;SRI;sendviči;700;b.meso salata;725;pecivo i pašteta;600;2025;2000;5k koraka;320;;;;;;
7.ruj;ČET;tost i sirni namaz;500;lisnato sir šunka;870;pecivo i sirni namaz;475;1845;2000;5k koraka;320;;;;;;
8.ruj;PET;sendviči;600;pizza;1350;sendvič;350;2300;2000;5k koraka;320;;;;;;
9.ruj;SUB;sendviči;700;pohani som i restani krumpir;845;kikiriki + sendviči;960;2505;2525;2k + bic + tata;300;;;;;;
10.ruj;NED;sendviči;700;b.meso i kroketi;1115;sendviči + jabuka;1080;2895;2525;4k + košarka;420;114,5 kg;;;;;
11.ruj;PON;ćevapi i lepinja + sok;1200;sendvič s b.mesom;400;sendviči s b.mesom + jabuka;850;2450;2000;8k koraka;490;;;;;;
12.ruj;UTO;sendviči;700;špageti;660;špageti + jabuka;750;2110;2000;5k koraka;310;;;;;;
13.ruj;SRI;sendviči;700;mini tortilje;1320;sendvič;350;2370;2000;5k + košarka;380;;;;;;
14.ruj;ČET;mini tortilje;660;špageti s kuglicama;620;mini tortilje + poderane gaće;1010;2290;2000;6k koraka;400;;;;;;
15.ruj;PET;sendviči;700;špageti s kuglicama;620;jabuka + sendvič;820;2140;2000;2.5k koraka;170;;;;;;
16.ruj;SUB;sendviči;700;b.meso + pire;800;sendviči + jabuka + tortlije;1720;3220;2525;12k koraka;770;;;;;;
