Datum;Dan u tj.;Doručak;Doručak (kcal);Ručak;Ručak (kcal);Večera;Večera (kcal);Ukupno;Potrošio;Aktivnost;Aktivnost (kcal);Tjelesna masa (kg)
2023-07-27;ČET;sendviči + sladoled;930.0;b.meso u kornflesku i pire;805.0;sendviči + bananko + kokice;1780.0;3515;2100;;;
2023-07-28;PET;kajgano hrenovke;745.0;lazanje;830.0;sendviči + sladoled + kokice;1820.0;3395;2650;;;
2023-07-29;SUB;sendviči;600.0;sladoled + štapići + lazanje;1660.0;kolači + lubenica + send. + kokice;1915.0;4175;2100;;;
2023-07-30;NED;sendviči + bananko;670.0;kanapei;300.0;svašta;2740.0;3710;2450;;;
2023-07-31;PON;sendviči + kolači;1200.0;B.meso + restani krumpir;1050.0;sendviči;1100.0;3350;2100;;;
2023-08-01;UTO;sendviči + lubenica;700.0;lisnato + kokice + sok + sladoled;1820.0;lisnato;300.0;2820;2100;;;
2023-08-02;SRI;sendviči + kitkat;910.0;pohano pecivo ;740.0;semdviči + sok + pahuljice + krekeri;1395.0;3045;2100;;;
2023-08-03;ČET;kajgano hrenovke + pahuljice;1050.0;zapečene tortilje;900.0;pahuljice + sendviči;1275.0;3225;2700;;;
2023-08-04;PET;sendviči;700.0;zapečene tortilje + banana;745.0;sendviči + som send;1550.0;2995;2100;;;
2023-08-05;SUB;sendviči ;700.0;fairanci send. + čoko.;1270.0;faširanci send.;1050.0;3020;2100;;;
2023-08-06;NED;/;0.0;/;0.0;rođendan;4010.0;4010;2100;;;
2023-08-07;PON;topli sendviči;750.0;paprikaš;990.0;sendviči + kolači;1450.0;3190;2100;;;
2023-08-08;UTO;sendviči;700.0;kolači + meso i sos;1345.0;sendviči + čoko;1180.0;3225;2100;;;
2023-08-09;SRI;sendviči;650.0;b.meso i grašak;750.0;sladoled + sendviči;1970.0;3370;2100;;;
2023-08-10;ČET;topli send. + sladoled;650.0;burek;820.0;sladoled + send. + čips;1998.0;3468;2100;;;
2023-08-11;PET;topli sendviči;825.0;sladoled + pohani som i restani krumpir;1220.0;sladoled + send. ;1100.0;3145;2100;;;
2023-08-12;SUB;sendviči;700.0;špageti;990.0;sendviči + špageti;1900.0;3590;2200;;;
2023-08-13;NED;sendviči;600.0;b.meso + krumpir;1090.0;sendviči + kokice;1200.0;2890;2200;;;
2023-08-14;PON;sendviči;600.0;mahune i faširanci;560.0;sendviči + 2 keksa;810.0;1970;2000;1k koraka;60.0;117 kg
2023-08-15;UTO;sendviči;600.0;b.meso + riža;720.0;pahuljice i sendviči;1040.0;2360;2000;5k + košarka;400.0;
2023-08-16;SRI;topli sendviči;800.0;sendvič i pahuljice;760.0;pizza + pommes + sok ;1750.0;3310;2000;22k + košarka;1700.0;
2023-08-17;ČET;sendviči + sladoled;790.0;hamburgeri;1140.0;Kajgano kockice + sladoled;895.0;2825;2000;12k + košarka;900.0;
2023-08-18;PET;sendviči;640.0;juha + b.meso i pire;870.0;sendviči + sladoled;930.0;2440;2000;7k koraka;460.0;
2023-08-19;SUB;sendviči;720.0;fiš + pahuljice;1020.0;sendviči;700.0;2440;2525;2.5k koraka;160.0;
2023-08-20;NED;sendviči;720.0;pravo meso i riža;810.0;sendviči + pahuljice + grickalice;1400.0;2930;2525;7k koraka;440.0;115,5 kg
2023-08-21;PON;topli sendviči;800.0;fiš;660.0;sendviči + grickalice;1140.0;2600;2000;3k koraka;190.0;
2023-08-22;UTO;sendviči;600.0;chicken tikka masala;690.0;sendviči;700.0;1990;2000;3k koraka;190.0;
2023-08-23;SRI;sendviči + ceda + kikiriki;930.0;mac and cheese;660.0;kokice + sendviči;1100.0;2690;2000;4k koraka;240.0;
2023-08-24;ČET;sendviči;700.0;trokut pizza + lisnato + pahuljice;835.0;šag catering + sok + sendviči;1550.0;3085;2000;4k koraka;250.0;
2023-08-25;PET;topli sendviči + party mix;1120.0;špageti;990.0;sladoled + sendviči + grickalice;1250.0;3360;2000;10k koraka;670.0;
2023-08-26;SUB;sendviči;700.0;tortilje ;1500.0;sladoled + kiflice;640.0;2840;2525;5k koraka;330.0;
2023-08-27;NED;lisnato salama sir;485.0;2 lisnata + rolada i krumpir;965.0;sladoled + lisnato + malo kikirikija;1520.0;2970;2525;1k koraka;75.0;116 kg
2023-08-28;PON;krekeri;570.0;rolada i krumpir;765.0;tortilje + party mix;990.0;2325;2000;7k + bicikl;630.0;
2023-08-29;UTO;sendvič;700.0;hotdogovi;840.0;krekeri;800.0;2340;2000;6k koraka;390.0;
2023-08-30;SRI;krekeri + grickalice;1050.0;b. meso i pire;705.0;sendviči + kikiriki;950.0;2705;2000;13k + košarka;960.0;
2023-08-31;ČET;sendviči;700.0;pizza trokuti + lisnato salama sir ;825.0;čips + sendviči;1470.0;2995;2000;16k koraka;1000.0;
2023-09-01;PET;pašteta i pecivo;530.0;b.meso + kroketi + kečap;865.0;pecivo i pašteta + kikiriki;1040.0;2435;2000;7k koraka;470.0;
2023-09-02;SUB;sendviči;700.0;b.meso i krumpir + juha;1020.0;sendviči s b.mesom;980.0;2700;2525;8k koraka;520.0;
2023-09-03;NED;sendviči;700.0;zapečene tortlije;1200.0;čips + sendviči;1120.0;3020;2525;7k + košarka;590.0;114,5 kg
2023-09-04;PON;meksičke pite + kuglice;1020.0;zapečene tortlije;800.0;sendviči;700.0;2520;2000;10k koraka;640.0;
2023-09-05;UTO;sendviči;420.0;mali burek sa sirom;520.0;sendviči;900.0;1840;2000;2k koraka;140.0;
2023-09-06;SRI;sendviči;700.0;b.meso salata;725.0;pecivo i pašteta;600.0;2025;2000;5k koraka;320.0;
2023-09-07;ČET;tost i sirni namaz;500.0;lisnato sir šunka;870.0;pecivo i sirni namaz;475.0;1845;2000;5k koraka;320.0;
2023-09-08;PET;sendviči;600.0;pizza;1350.0;sendvič;350.0;2300;2000;5k koraka;320.0;
2023-09-09;SUB;sendviči;700.0;pohani som i restani krumpir;845.0;kikiriki + sendviči;960.0;2505;2525;2k + bic + tata;300.0;
2023-09-10;NED;sendviči;700.0;b.meso i kroketi;1115.0;sendviči + jabuka;1080.0;2895;2525;4k + košarka;420.0;114,5 kg
2023-09-11;PON;ćevapi i lepinja + sok;1200.0;sendvič s b.mesom;400.0;sendviči s b.mesom + jabuka;850.0;2450;2000;8k koraka;490.0;
2023-09-12;UTO;sendviči;700.0;špageti;660.0;špageti + jabuka;750.0;2110;2000;5k koraka;310.0;
2023-09-13;SRI;sendviči;700.0;mini tortilje;1320.0;sendvič;350.0;2370;2000;5k + košarka;380.0;
2023-09-14;ČET;mini tortilje;660.0;špageti s kuglicama;620.0;mini tortilje + poderane gaće;1010.0;2290;2000;6k koraka;400.0;
2023-09-15;PET;sendviči;700.0;špageti s kuglicama;620.0;jabuka + sendvič;820.0;2140;2000;2.5k koraka;170.0;
2023-09-16;SUB;sendviči;700.0;b.meso + pire;800.0;sendviči + jabuka + tortlije;1720.0;3220;2525;12k koraka;770.0;
2023-09-17;NED;kanapei;450.0;svinjski kare + pire + kolač + sok;1780.0;sok + tortilje;950.0;3180;2525;4k koraka;270.0;114 kg
2023-09-18;PON;sendviči + kolač + sok;1060.0;svinjski kare + pire + kolač + sok;880.0;cheese toasty + jabuka;580.0;2520;2000;5k + bic + koš;540.0;
2023-09-19;UTO;topli sendviči + sok;945.0;varivo i faširanci;520.0;sendviči + jabuka;790.0;2255;2000;2k koraka;150.0;
2023-09-20;SRI;sendviči + kuglice;960.0;b.meso i kroketi;1025.0;b.meso i kroketi + sok;1175.0;3160;2000;3k koraka;230.0;
2023-09-21;ČET;sendviči;700.0;kobasica + vrhnje + kruh + jabuka;840.0;sendviči ;640.0;2180;2000;2k koraka;110.0;
2023-09-22;PET;sendviči + kikiriki;960.0;hamburgeri;1000.0;kiflice;420.0;2380;2000;3k + bicikl;310.0;
2023-09-23;SUB;sendviči;800.0;grah i kruh;1100.0;jabuka + grah tortilje + sok;1040.0;2940;2525;1k koraka;100.0;
2023-09-24;NED;sendviči;700.0;mini tortilje;1500.0;tortlija sendviči + sok;1050.0;3250;2525;3k + bicikl;300.0;114,5 kg
2023-09-25;PON;pecivo i pašteta;640.0;grah i tjestenina;640.0;tortilja sendviči + jabuka;990.0;2270;2000;4k koraka;310.0;
2023-09-26;UTO;pecivo i pašteta;300.0;pizza + pommes + sok;1750.0;sok;300.0;2350;2000;4k koraka;380.0;
2023-09-27;SRI;pecivo i pašteta + sok;900.0;kikiriki + čufte;800.0;kokice i sendviči;900.0;2600;2000;4k + košarka;680.0;
2023-09-28;ČET;sendviči na kruhu + sok;1040.0;čufte + kruh;900.0;sendviči + kokice;1140.0;3080;2000;2k koraka;120.0;
2023-09-29;PET;sendviči;660.0;pohani som i restani krumpir;925.0;sendviči + sok + tost pašteta;1500.0;3085;2000;2k koraka;120.0;
2023-09-30;SUB;sendviči;700.0;b.meso + sos + kruh + pahuljice;890.0;sendviči + pahuljice;1000.0;2590;2525;1k koraka;110.0;
2023-10-01;NED;sendviči;700.0;gulaš + čoko;940.0;sendviči;700.0;2340;2525;3k koraka;180.0;114,5 kg
2023-10-02;PON;sendviči;700.0;slanac + pašteta;780.0;2 el pan pizze;800.0;2280;2000;11k koraka;680.0;
2023-10-03;UTO;sendvič;350.0;bečki + riža + pizza send.;940.0;čips;830.0;2120;2000;4k koraka;300.0;
2023-10-04;SRI;pizza sendvič;700.0;pizza sendvič + cordon sendvič;770.0;burek + jogurt + corny;775.0;2245;2000;1k koraka;70.0;
2023-10-05;ČET;pizza sendvič;660.0;špageti + pizza sendvič;880.0;čips;800.0;2340;2000;4k koraka;280.0;
2023-10-06;PET;ćevapi + pecivo + kečap;710.0;lisnato sa šunkom i sirom;1120.0;bananko + sendviči;930.0;2760;2000;12k koraka;770.0;
2023-10-07;SUB;slanac + kolač;900.0;b.meso u kornfelksu + pire;1250.0;b.meso + sladoled;1125.0;3275;2525;2k koraka;160.0;
2023-10-08;NED;pohani kruh;920.0;sladoled + b.meso i krumpir;1365.0;bananko + sendviči;1050.0;3335;2525;2k + bicikl;260.0;113,5 kg
2023-10-09;PON;burek i jogurt;620.0;/;0.0;burek + čips;1220.0;1840;2000;12k + tjelesni;1110.0;
2023-10-10;UTO;pizza sendvič;680.0;pljeskavica + njoke + čips;1090.0;cordon i pommes;730.0;2500;2000;8k koraka;500.0;
2023-10-11;SRI;pizza sendvič;680.0;somun sendvič;420.0;svinjetina + kroketi + sendvič;1115.0;2215;2000;8k koraka;490.0;
2023-10-12;ČET;pizza sendvič;680.0;špageti;550.0;b.meso i riža + čips;1325.0;2555;2000;8k + košarka;1010.0;
2023-10-13;PET;somun sendvič ;1030.0;/;0.0;špageti + merci;1530.0;2560;2000;10 koraka;760.0;
2023-10-14;SUB;sendviči;700.0;tortlije;1320.0;mandarine + sendviči;760.0;2780;2525;2.5k koraka;150.0;
2023-10-15;NED;sendviči;600.0;ćevapi + lepinja + vrhnje;1520.0;sendviči +  čoko;1250.0;3370;2525;1k koraka;60.0;113,5 kg
2023-10-16;PON;sendviči;600.0;cordon + riža;630.0;tortilje sendviči;1160.0;2390;2000;12k + tjelesni;1060.0;
2023-10-17;UTO;tortilje sendviči;1040.0;ćevapi i riža;745.0;bečki i pomfrit;800.0;2585;2000;6k koraka;400.0;
2023-10-18;SRI;pizza sendvič;680.0;pizza sendvič i cordon sendvič;760.0;b.meso i krumpir;900.0;2340;2000;12k koraka;790.0;
2023-10-19;ČET;pizza sendvič;680.0;/;0.0;2 somuna s paštetom;1080.0;1760;2000;5k koraka;320.0;
2023-10-20;PET;pizza sendvič;680.0;b.meso i riža + mandarine;960.0;sendviči;700.0;2340;2000;7k koraka;590.0;
2023-10-21;SUB;slanci;750.0;big mac tortilje;1300.0;sendviči + pahuljice;1000.0;3050;2525;2k + lišće;160.0;
2023-10-22;NED;sendviči;700.0;lungić + pire + sos;770.0;oreo + tortlija;2210.0;3680;2525;1k koraka;60.0;112,5 kg
2023-10-23;PON;sendviči;700.0;gulaš i njoki;680.0;somun sendviči;1170.0;2550;2000;12k + tjelesni;1120.0;
2023-10-24;UTO;ćevapi i kroketi;1080.0;cordon sendvič;400.0;čips + sok;1150.0;2630;2000;10k koraka;640.0;
2023-10-25;SRI;pizza sendvič;680.0;roštiljke i riža;675.0;špageti i jabuke;840.0;2195;2000;5k + košarka;540.0;
2023-10-26;ČET;pizza sendvič;680.0;svinjetina i riža s vrhnjem;630.0;čips;850.0;2160;2000;3k koraka;180.0;
2023-10-27;PET;pizza sendvič;1020.0;sendvič;350.0;paprikaš + keksi;1900.0;3270;2000;8k koraka;640.0;
2023-10-28;SUB;sendviči;640.0;pizza + keksi;1475.0;ostaci pizze;620.0;2735;2525;3k koraka;210.0;
2023-10-29;NED;sendviči + keksi + mandarina;1200.0;b.meso u korfleksu + pire + keks;930.0;b.meso u kornfleksu + pecivo + vrhnje;810.0;2940;2525;2.5k koraka;180.0;113 kg
2023-10-30;PON;/;0.0;grah i pecivo;950.0;lepinja sendvič;960.0;1910;2000;10k koraka;950.0;
2023-10-31;UTO;gulaš;670.0;sendviči + sok + fererro;990.0;party mix + sendviči;840.0;2500;2000;8k koraka;530.0;
2023-11-01;SRI;sendviči;700.0;sok + keksi + lazanje;1430.0;tortlija sendviči + sok;990.0;3120;2000;5k koraka;340.0;
2023-11-02;ČET;hambi i lisnato hrenovka;720.0;b.meso i kroketi + bananko;1530.0;semdvič i sok;790.0;3040;2000;5k koraka;330.0;
2023-11-03;PET;sendviči;700.0;ono kinesko;720.0;čoko + čips;1020.0;2440;2000;12k koraka;780.0;
2023-11-04;SUB;sendviči;620.0;čufte + kruh;750.0;m&ms + čufte + kruh + čips;2000.0;3370;2525;1k koraka;100.0;
2023-11-05;NED;sendviči;620.0;b.meso i krumpir + 505 sa crtom;1150.0;sendviči + party mix;910.0;2680;2525;0k koraka;0.0;112,5 kg
2023-11-06;PON;sendviči;750.0;cordon sendvič;420.0;lepinja sendvič;1300.0;2470;2000;13k + tjelesni;1110.0;
2023-11-07;UTO;hambi;850.0;meso i kroketi;625.0;čips + sok;1120.0;2595;2000;5k koraka;300.0;
2023-11-08;SRI;burek sa sirom;600.0;pohano b.meso i riža + protein puding;765.0;Čips + protein puding;1000.0;2365;2000;8k koraka;510.0;
2023-11-09;ČET;hambi;850.0;mesi i čudna riža;710.0;keksi;1260.0;2820;2000;5k koraka;300.0;
2023-11-10;PET;burek;730.0;gulaš;550.0;sendviči i pahuljice;1050.0;2330;2000;8k + kolodvor;660.0;
2023-11-11;SUB;sendvič i pahuljice;940.0;mini tortilje;1200.0;mini tortilje + pahuljice;1140.0;3280;2525;1k koraka;60.0;
2023-11-12;NED;tottilje;900.0;musaka;600.0;sendviči + keksi;1220.0;2720;2525;4k + kolodvor;350.0;113 kg
2023-11-13;PON;cordon i pekarski krumpir;760.0;gulaš;620.0;mini tortijle;1675.0;3055;2000;14k + tjelesni;1160.0;
2023-11-14;UTO;pizza sendviči;680.0;pljeskavica i riža;770.0;čips + keksi;1570.0;3020;2000;8k koraka;500.0;
2023-11-15;SRI;pizza sendvič + hambi;775.0;2 cordona, vrhnje i pecivo;1040.0;/;0.0;1815;2000;4k koraka;300.0;
2023-11-16;ČET;pizza sendviči;700.0;lepinja sendvič;970.0;pljeska i riža;595.0;2265;2000;7k koraka;440.0;
2023-11-17;PET;pizza sendviči;700.0;špageti + čoko;2110.0;sendviči + sok;790.0;3600;2000;7k + kolodvor;630.0;
2023-11-18;SUB;sendviči + čoko;1020.0;forneti + b.meso i pire;1320.0;forneti + b.meso + vrhnje + čoko;1455.0;3795;2525;1k koraka;70.0;
2023-11-19;NED;sendvič + čoko;875.0;pohani som i restani krumpir;1120.0;sendviči;930.0;2925;2525;4k + kolodvor;350.0;112, 5kg
2023-11-20;PON;pizza sendviči;700.0;cordon i riža;570.0;somun sendviči;720.0;1990;2000;10k + tjelesni;960.0;
2023-11-21;UTO;cordon i rizibizi;810.0;somun sendvič;710.0;somun sendvič + sok + čips;1740.0;3260;2000;6k koraka;400.0;
2023-11-22;SRI;b.meso i riža;700.0;pizza sendviči;700.0;čips;870.0;2270;2000;9k koraka;560.0;
2023-11-23;ČET;hambi;900.0;meso i krpice;720.0;sok + sendviči;910.0;2530;2000;7k koraka;430.0;
2023-11-24;PET;sendviči;1040.0;Gulaš paprikaš;1320.0;pahuljice ;240.0;2600;2000;6k + kolodvor;550.0;
2023-11-25;SUB;sendviči;700.0;b.meso i sos i kruh + čokoladice;1140.0;sendviči;700.0;2540;2525;1k koraka;60.0;
2023-11-26;NED;sendviči;700.0;b.meso na kockice + riža;850.0;tamna čoko + sendviči;1040.0;2590;2525;2k koraka;100.0;112,5 kg
2023-11-27;PON;sendviči;700.0;hambi i kulen sendvič;770.0;slanci sendviči + sok;1070.0;2540;2000;10k + tjelesni;1100.0;
2023-11-28;UTO;pizza sendviči;700.0;bečki i riža + čips;1420.0;somun sendvič;450.0;2570;2000;5k koraka;310.0;
2023-11-29;SRI;gulaš;930.0;/;0.0;sendviči i čips;2400.0;3330;2000;8k koraka;510.0;
2023-11-30;ČET;pizza sendviči;700.0;hambi i krofna;870.0;bečki i krumpir + čoko;1140.0;2710;2000;4k koraka;230.0;
2023-12-01;PET;hambi i pizza sendvič;800.0;mahune i kobasica;820.0;čoko + kruh sendvič;870.0;2490;2000;9k + kolodvor;690.0;
2023-12-02;SUB;sendviči i čoko;1250.0;tortlije + čoko;1670.0;svašta;1540.0;4460;2525;1k koraka;60.0;
2023-12-03;NED;sendviči;700.0;b.mesi i krumpir;1000.0;sendviči;600.0;2300;2525;4k + kolodvor;340.0;112,5 kg
2023-12-04;PON;bečki i riza;600.0;cordon sendvič;420.0;sendviči;1000.0;2020;2000;11k + tjelesni;1000.0;
2023-12-05;UTO;sendviči;1000.0;pljeska i riža;750.0;tortilje sendviči;1250.0;3000;2000;8k koraka;480.0;
2023-12-06;SRI;pizza;800.0;b.meso i riža;630.0;pizza + sok + keksi;1900.0;3330;2000;6k koraka;370.0;
2023-12-07;ČET;hambi;900.0;čips i keksi;1050.0;bečki i riža + keksi;800.0;2750;2000;6k koraka;400.0;
2023-12-08;PET;burek i prutić;850.0;čips;850.0;pizza;1350.0;3050;2000;9k koraka;590.0;
2023-12-09;SUB;sendviči + pillows;920.0;Chili con carne;910.0;sendviči + keksi;860.0;2690;2525;1k koraka;60.0;
2023-12-10;NED;pohani kruh;1000.0;b.meso u kornflesku i pire;850.0;mini tortilje + keksi;1200.0;3050;2525;1k koraka;60.0;113 kg
2023-12-11;PON;sendviči;900.0;bečki i riža i krofna;850.0;sendvič lepinja + sok + monte;1220.0;2970;2000;15k + tjelesni;1350.0;
2023-12-12;UTO;pizza sendviči ;700.0;gulaš + čips;1400.0;lepinja sendvič;750.0;2850;2000;5k koraka;300.0;
2023-12-13;SRI;čevapi i riža;850.0;špageti;1240.0;keksi + cordon sendvič;1050.0;3140;2000;8k koraka;510.0;
2023-12-14;ČET;pizza sendviči;700.0;burek i jogurt;700.0;pizza;1350.0;2750;2000;2.5k koraka;190.0;
2023-12-15;PET;hambi;950.0;gulaš ;550.0;granatir i keksi;1720.0;3220;2000;12k koraka;760.0;
2023-12-16;SUB;sendviči + keksi;1100.0;palačinke i keksi;1320.0;topli sendviči;700.0;3120;2525;1k koraka;60.0;
2023-12-17;NED;sendviči + keksi;1100.0;b.meso i sos + kruh;740.0;sendviči + pereci;1100.0;2940;2525;3k koraka;210.0;113 kg
2023-12-18;PON;/;0.0;špageti;550.0;sendviči + sok + pita;1470.0;2020;2000;12k + tjelesni;1060.0;
2023-12-19;UTO;pizza sendvič;350.0;gulaš i čips;1450.0;bečki i grašak + keksi;1150.0;2950;2000;7k koraka;460.0;
2023-12-20;SRI;bečki i riža;650.0;lepinja sendvič;750.0;lepinja sendvič + sok;1020.0;2420;2000;13k koraka;800.0;
2023-12-21;ČET;čevapi + kruh + vrhnje + čokolada;1260.0;burek i jogurt;700.0;sendviči i keksi;850.0;2810;2000;9k + kolodvor;810.0;
2023-12-22;PET;/;0.0;špgati + čokolada;1770.0;sendviči;700.0;2470;2000;11k + koldovr;880.0;
2023-12-23;SUB;sendviči + keksi;1100.0;b.mesi i pire + kolači;1350.0;sendviči;700.0;3150;2525;1k koraka;60.0;
2023-12-24;NED;sendviči;900.0;fiš + pohani som + restani krumpir;1440.0;sendviči + keksi;900.0;3240;2525;1k koraka;60.0;112,3 kg
2023-12-25;PON;sendviči + keksi;1150.0;b.meso + krumpir + keksi;1400.0;topli sendviči;775.0;3325;2000;1k koraka;60.0;
2023-12-26;UTO;sendviči + keksi;900.0;fiš;990.0;lisnato borići + cola + sendviči;1350.0;3240;2000;1k koraka;60.0;
2023-12-27;SRI;trokut pizza;570.0;varivo s b.mesom i nekoliko keksa;975.0;cola i forneti;620.0;2165;2000;6k + trening;670.0;
2023-12-28;ČET;sendviči + cola;870.0;čufte + kruh;925.0;čips i keksi;900.0;2695;2000;6k koraka;400.0;
2023-12-29;PET;sendviči + malo čipsa;900.0;čufte + kruh;600.0;sendviči;700.0;2200;2000;1k koraka;60.0;
2023-12-30;SUB;sendviči;700.0;pizza;1050.0;sendviči + čoko;1100.0;2850;2525;1k koraka;60.0;
2023-12-31;NED;sendviči;700.0;pohani som i restani krumpir;900.0;doček;1350.0;2950;2525;1k koraka;60.0;113 kg
2024-01-01;PON;/;0.0;sendviči;700.0;sendviči + cola + čoko;1780.0;2480;2000;1k koraka;60.0;
2024-01-02;UTO;sendviči + sladoled;1150.0;b.meso i pire;750.0;čips + sendviči + sok;1550.0;3450;2000;2k + trening;440.0;
2024-01-03;SRI;sendviči;700.0;grah + pecivo + sladoled;1075.0;kokice + sok + sendviči;1300.0;3075;2000;5k koraka;340.0;
2024-01-04;ČET;kokice i sok;630.0;špageti;1100.0;sendviči;700.0;2430;2000;1k + trening;420.0;
2024-01-05;PET;špageti;770.0;paprikaš;1100.0;sendviči;800.0;2670;2000;1k koraka;60.0;
2024-01-06;SUB;sendvči + čoko;1040.0;bijela pizza;800.0;sendviči + pahuljice;1050.0;2890;2525;1k koraka;60.0;
2024-01-07;NED;pizzete;1000.0;b.meso u kornfleksu i pire;835.0;sendviči + pahuljice;940.0;2775;2525;2k koraka;120.0;113 kg
2024-01-08;PON;gulaš;660.0;hambi;450.0;tortilje + sok;1470.0;2580;2000;13k koraka;1100.0;
2024-01-09;UTO;hamburgeri;900.0;b.meso i riža + delice;860.0;cordon i krumpir + sok;950.0;2710;2000;8k koraka;540.0;
2024-01-10;SRI;tortilje sendviči;1200.0;špageti;660.0;čips;850.0;2710;2000;5k koraka;340.0;
2024-01-11;ČET;hamburgeri;900.0;paprikaš;550.0;cordon njoki + čips;1510.0;2960;2000;7k koraka;450.0;
2024-01-12;PET;burek;700.0;/;0.0;sendviči + pahuljice + peciva;1710.0;2410;2000;7k + kolodvor;540.0;
2024-01-13;SUB;sendviči i protein puding;900.0;b.meso i sos + pecivo + keksi;1235.0;sendviči + dukatino + čips;1575.0;3710;2525;3k koraka;210.0;
2024-01-14;NED;topli sendviči;915.0;tortilje;1440.0;tortilje;1030.0;3385;2525;3k koraka;300.0;113,5 kg
2024-01-15;PON;sendvič i lisnato;520.0;gulaš + monte;1380.0;sendviči + protein puding;950.0;2850;2000;8k + tjelesni;850.0;
2024-01-16;UTO;cordon i riža;520.0;špageti + čips;1510.0;svašta;1000.0;3030;2000;10k koraka;600.0;
2024-01-17;SRI;cordon i riža + čokoladica;680.0;kruh sendviči;1000.0;pljeska i pomes;820.0;2500;2000;5k koraka;300.0;
2024-01-18;ČET;pizza sendviči;700.0;špageti;660.0;pljeska i nešto;500.0;1860;2000;9k koraka;560.0;
2024-01-19;PET;pizza sendviči;700.0;hambi;450.0;burek + nutella send.;2150.0;3300;2000;9k + kolodvor;690.0;
2024-01-20;SUB;sendviči;700.0;grah i kruh i nutella send.;1520.0;sendviči + monte bar;990.0;3210;2525;1k koraka;60.0;
2024-01-21;NED;sendviči i monte bar;845.0;nutella send. + b.meso i pire;1050.0;sendviči + keksi;1300.0;3195;2525;1k koraka;60.0;113,5 kg
2024-01-22;PON;sendviči;600.0;štruca i granatir + kruh send.;1240.0;slanac + sok;1270.0;3110;2000;14k + tjelesni;1220.0;
2024-01-23;UTO;hambi + keksi;1200.0;pljeska i riža;850.0;kruh sendviči;880.0;2930;2000;3k koraka;220.0;
2024-01-24;SRI;cordon i burek i bananko;1180.0;čips;850.0;bomboni + kruh send.;1190.0;3220;2000;12k koraka;730.0;
2024-01-25;ČET;pizza + čoko;1000.0;špageti + cordon i riža + delice;1450.0;pizza el pan + kruh sendviči;800.0;3250;2000;6k koraka;420.0;
2024-01-26;PET;pizza send.;700.0;hambi + sok i pire;1350.0;čips + čoko;1100.0;3150;2000;7k + kolodvor;560.0;
2024-01-27;SUB;sendviči + sok;850.0;špageti;1210.0;svašta;1800.0;3860;2525;2k koraka;130.0;
2024-01-28;NED;sendviči;760.0;kruh + b.meso u kronfleksu i krumpir;1200.0;svašta;1400.0;3360;2525;1k koraka;70.0;114 kg
2024-01-29;PON;3 tosta;750.0;bananko sladoled;180.0;tjestenina sir + svašta;1670.0;2600;2000;10k koraka;610.0;
2024-01-30;UTO;sendviči;700.0;b.meso i tjestenina sir;800.0;sendviči + pahuljice;1000.0;2500;2000;1k koraka;70.0;
2024-01-31;SRI;sendviči + bananko;880.0;špageti;1500.0;cordon i krumpir ;800.0;3180;2000;9k koraka;600.0;
2024-02-01;ČET;pizza send;700.0;čips + ručak;1610.0;večera;950.0;3260;2000;8k koraka;530.0;
2024-02-02;PET;cordon i riža;930.0;piroge + čokolada;1000.0;sendviči + sok + banana;1180.0;3110;2000;12k koraka;800.0;
2024-02-03;SUB;kajgano;820.0;paprikaš + čokolada;1470.0;podrane gaće;1620.0;3910;2525;1k koraka;70.0;
2024-02-04;NED;sendviči;950.0;b.meso i pire;900.0;sendviči + keksi;1300.0;3150;2525;4k koraka;240.0;115 kg
2024-02-05;PON;pizza sendvič;700.0;varivo;500.0;sladoled + sendviči + čips;2200.0;3400;2000;11k koraka;680.0;
2024-02-06;UTO;sendviči + čips;1050.0;bolonjez + keksi;1060.0;sendviči + čoko;850.0;2960;2000;1k koraka;70.0;
2024-02-07;SRI;sendviči + čoko;1030.0;b.meso i pire;1000.0;sendviči + čoko;1000.0;3030;2000;1k koraka;70.0;
2024-02-08;ČET;sendviči + čoko;1000.0;bolonjez + delnice + čips + bomboni;2005.0;cordon i krumpir + bomboni;1260.0;4265;2000;12k koraka;750.0;
2024-02-09;PET;sendviči + bomobni;1590.0;b.meso kanapei;800.0;sendviči + bomboni;970.0;3360;2000;8k koraka;510.0;
2024-02-10;SUB;sendviči + krofna + dukatino;1000.0;pizza;1350.0;sendviči + krekeri;1000.0;3350;2525;1k koraka;70.0;
2024-02-11;NED;sendviči + puding;800.0;fiš + oblatne + krekeri;1940.0;sendviči + kolači;1100.0;3840;2525;1k koraka;70.0;116 kg
2024-02-12;PON;sendviči;700.0;burek + oblatne;1100.0;čips + sendviči;1320.0;3120;2000;10k koraka;600.0;
2024-02-13;UTO;sendviči + oblatne + sok;1300.0;palačinke ;800.0;palačinke + sok;1020.0;3120;2000;1k koraka;70.0;
2024-02-14;SRI;topli sendviči;750.0;pohani som i restani krumpir;1000.0;sendviči + domačića;1150.0;2900;2000;1k koraka;60.0;
2024-02-15;ČET;sendviči;700.0;faširanci i riža;700.0;sendviči + sok + čoko;1260.0;2660;2000;1k koraka;60.0;
2024-02-16;PET;sendviči;1400.0;chili con carne + svašta;1960.0;sendviči;700.0;4060;2000;12k koraka;750.0;
2024-02-17;SUB;sendviči + sok + pahuljice;1200.0;kaneloni + pahuljice;1400.0;sendviči;700.0;3300;2525;1k koraka;70.0;
